Nom;Alias;IATA;OACI;Pays
Lagun Air;\N;N6;JEV;Spain
Lake Havasu Air Service;\N;;HCA;United States
Lakeland Aviation;\N;;LKL;United States
Laker Airways;\N;;LKR;United States
Laker Airways (Bahamas);\N;;LBH;United States
Lamra;\N;;LMR;Sudan
Lanaes Aereas Trans Costa Rica;\N;;TCR;Costa Rica
Landsflug;\N;;ISL;Iceland
Langtry Flying Group;\N;;PAP;United Kingdom
Lankair;\N;IK;LKN;Sri Lanka
Lanza Air;\N;;LZA;Spain
Lanzarote Aerocargo;\N;;LZT;Spain
Lao Air Company;\N;;LLL;Lao Peoples Democratic Republic
Lao Airlines;\N;QV;LAO;Lao Peoples Democratic Republic
Lao Capricorn Air;\N;;LKA;Lao Peoples Democratic Republic
Laoag International Airlines;\N;L7;LPN;Philippines
Laredo Air;\N;;LRD;United States
LatCharter;\N;;LTC;Latvia
Latvian Air Force;\N;;LAF;Latvia
Lauda Air;\N;NG;LDA;Austria
Lauda Air Italy;\N;;LDI;Italy
Laughlin Express;\N;;LEP;United States
Laus;\N;;LSU;Croatia
Lawrence Aviation;\N;;LAR;United States
Layang-Layang Aerospace;\N;;LAY;Malaysia
Lease-a-Plane International;\N;;LPL;United States
Lebanese Air Transport;\N;LQ;LAQ;Lebanon
Lebanese Air Transport (Charter);\N;;LAT;Lebanon
Lebanon Airport Development Corporation;\N;;LAD;United States
Leconte Airlines;\N;;LCA;United States
Leeward Islands Air Transport;\N;LI;LIA;Antigua and Barbuda
Legend Airlines;\N;;LGD;United States
Leisure Air;\N;;LWD;United States
Lentini Aviation;\N;;LEN;United States
Leo-Air;\N;;LOR;South Africa
Leonsa De Aviacion;\N;;LEL;Spain
Libyan Airlines;\N;;LYW;Libya
Libyan Arab Airlines;\N;LN;LAA;Libya
Libyan Arab Air Cargo;\N;;LCR;Libya
Lid Air;\N;;LIQ;Sweden
Lignes Aeriennes Congolaises;\N;;LCG;Democratic Republic of the Congo
Lignes Aeriennes Du Tchad;\N;;LKD;Chad
Lignes Mauritaniennes Air Express;\N;;LME;Mauritania
Lignes Nationales Aeriennes - Linacongo;\N;;GCB;Republic of the Congo
Lincoln Air National Guard;\N;;GDQ;United States
Lincoln Airlines;\N;;LRT;Australia
Lindsay Aviation;\N;;LSY;United States
Linea Aerea Costa Norte;\N;;NOT;Chile
Linea Aerea Mexicana de Carga;\N;;LMC;Mexico
Linea Aerea SAPSA;\N;L7;LNP;Chile
Linea Aerea de Fumig Aguas Negras;\N;;NEG;Chile
Linea Aerea de Servicio Ejecutivo Regional;\N;8z;LER;Venezuela
Linea De Aeroservicios;\N;;LSE;Chile
Linea Turistica Aerotuy;\N;LD;TUY;Venezuela
Lineas Aereas Alaire S.L.;\N;;ALR;Spain
Lineas Aereas Azteca;\N;ZE;LCD;Mexico
Lineas Aereas Canedo LAC;\N;;LCN;Bolivia
Lineas Aereas Comerciales;\N;;LCM;Mexico
Lineas Aereas Ejectuivas De Durango;\N;;EDD;Mexico
Lineas Aereas Eldorado;\N;;EDR;Colombia
Lineas Aereas Federales;\N;;FED;Argentina
Lineas Aereas Monarca;\N;;LMN;Mexico
Lineas Aereas San Jose;\N;;LIJ;Mexico
Lineas Aereas del Humaya;\N;;UMA;Mexico
Linex;\N;;LEC;Central African Republic
Linhas Aereas Santomenses;\N;;SMS;S
Linhas A;\N;LM;LAM;Mozambique
Link Airways of Australia;\N;;LAW;Australia
Lion Air Services;\N;;WGT;United Kingdom
Lion Mentari Airlines;\N;JT;LNI;Indonesia
Lions-Air;\N;;LEU;Switzerland
Lithuanian Air Force;\N;;LYF;Lithuania
Little Red Air Service;\N;;LRA;Canada
Livingston;\N;LM;LVG;Italy
Lloyd Aereo Boliviano;\N;LB;LLB;Bolivia
Lnair Air Services;\N;;LNA;Spain
Lockheed Air Terminal;\N;;XLG;United States
Lockeed Aircraft Corporation;\N;;LAC;United States
Lockheed DUATS;\N;;XDD;United States
Lockheed Martin Aeronautics;\N;;CBD;United States
Lockheed Martin Aeronautics Company;\N;;LNG;United States
Logan Air;\N;;LOG;United Kingdom
Lom Praha Flying School;\N;;CLV;Czech Republic
Lomas Helicopters;\N;;LMS;United Kingdom
London City Airport Jet Centre;\N;;LCY;United Kingdom
London Executive Aviation;\N;;LNX;United Kingdom
London Flight Centre (Stansted);\N;;LOV;United Kingdom
London Helicopter Centres;\N;;LHC;United Kingdom
Lone Star Airlines;\N;;LSS;United States
Long Island Airlines;\N;;ORA;United States
Longtail Aviation;\N;;LGT;Bermuda
Lorraine Aviation;\N;;LRR;France
Los Cedros Aviacion;\N;;LSC;Chile
Lotus Air;\N;;TAS;Egypt
Luchtvaartmaatschappij Twente;\N;;LTW;Netherlands
Lucky Air;\N;;LKE;China
Luft Carago;\N;;LUT;South Africa
Luftfahrt-Vermietungs-Dienst;\N;;LVD;Austria
Luftfahrtgesellschaft Walter;\N;HE;LGW;Germany
Lufthansa;\N;LH;DLH;Germany
Lufthansa Cargo;\N;LH;GEC;Germany
Lufthansa CityLine;\N;CL;CLH;Germany
Lufthansa Systems;\N;L1;;Germany
Lufthansa Technik;\N;;LHT;Germany
Lufttaxi Fluggesellschaft;;DV;LTF;Germany
Lufttransport;\N;L5;LTR;Norway
Luhansk;\N;;LHS;Ukraine
Lund University School of Aviation;\N;;UNY;Sweden
Luxair;\N;LG;LGL;Luxembourg
Luxaviation;\N;;LXA;Luxembourg
Luxembourg Air Rescue;\N;;LUV;Luxembourg
Luxflight Executive;\N;;LFE;Luxembourg
Luxor Air;\N;;LXO;Egypt
Luzair;\N;;LUZ;Portugal
Lviv Airlines;\N;5V;UKW;Ukraine
Lydd Air;\N;;LYD;United Kingdom
Lynch Flying Service;\N;;LCH;United States
Lynden Air Cargo;\N;L2;LYC;United States
Lynx Air International;\N;;LXF;United States
Lynx Aviation;\N;;LYX;Pakistan
L;\N;MJ;LPR;Argentina
L;\N;;LAU;Colombia
M & N Aviation;\N;;JNH;United States
MAC Fotografica;\N;;MCF;Spain
MANAG'AIR;\N;;MRG;France
MAP-Management and Planung;\N;;MPJ;Austria
MAS Airways;\N;;TFG;United Kingdom
MasAir;\N;M7;MAA;Mexico
MAT Macedonian Airlines;\N;IN;MAK;Macedonia
MCC Aviation;\N;;MCC;South Africa
MG Aviacion;\N;;MGA;Spain
MIA Airlines;\N;;JLA;Romania
MIAT Mongolian Airlines;\N;OM;MGL;Mongolia
MIT Airlines;\N;;MNC;Canada
MK Airline;\N;;MKA;Ghana
MNG Airlines;\N;MB;MNB;Turkey
MSR Flug-Charter;\N;;EBF;Germany
MTC Aviacion;\N;;MCV;Mexico
Mac Aviation;\N;;MAQ;Spain
Mac Dan Aviation Corporation;\N;;MCN;United States
MacKnight Airlines;\N;;MTD;Australia
Macair Airlines;\N;CC;MCK;Australia
Macedonian Airlines;\N;;MCS;Greece
Madina Air;\N;;MDH;Libya
Maersk;\N;DM;;Denmark
Magic Blue Airlines;\N;;MJB;Netherlands
Magna Air;\N;;MGR;Austria
Mahalo Air;\N;;MLH;United States
Mahan Air;\N;W5;IRM;Iran
Mahfooz Aviation;\N;M2;MZS;Gambia
Maine Aviation;\N;;MAT;United States
Majestic Airlines;\N;;MAJ;United States
Mak Air;\N;;AKM;Kazakhstan
Malagasy Airlines;\N;;MLG;Madagascar
Malawi Express;\N;;MLX;Malawi
Malaya Aviatsia Dona;\N;;MKK;Russia
Malaysia Airlines;\N;MH;MAS;Malaysia
Mali Air;\N;;MAE;Austria
Mali Air Express;\N;;VXP;Mali
Mali Airways;\N;;MTZ;Mali
Malila Airlift;\N;;MLC;Democratic Republic of the Congo
Mall Airways;\N;;MLS;United States
Malmo Aviation;\N;;SCW;Sweden
Malmoe Air Taxi;\N;;LOD;Sweden
Malmö Aviation;\N;TF;SCW;Sweden
Malta Air Charter;\N;R5;MAC;Malta
Malta Wings;\N;;MWS;Malta
Malév;\N;MA;MAH;Hungary
Manaf International Airways;\N;;MLB;Burundi
Mandala Airlines;\N;RI;MDL;Indonesia
Mandarin Airlines;\N;AE;MDA;Taiwan
Mango;\N;JE;MNO;South Africa
Manhattan Air;\N;;MHN;United Kingdom
Manitoulin Air Services;\N;;MTO;Canada
Mann Air;\N;;MNR;United Kingdom
Mannion Air Charter;\N;;MAN;United States
Mantrust Asahi Airways;\N;;MTS;Indonesia
Manx Airlines;\N;;MNX;United Kingdom
Maple Air Services;\N;;MAD;Canada
March Helicopters;\N;;MAR;United Kingdom
Marcopolo Airways;\N;;MCP;Afghanistan
Marghi Air;\N;;MGI;Nigeria
Markair;\N;;MRK;United States
Markoss Aviation;\N;;MKO;United Kingdom
Mars RK;\N;6V;MRW;Ukraine
Marshall Aerospace;\N;;MCE;United Kingdom
Marsland Aviation;\N;M7;MSL;Sudan
Martin Aviation Services;\N;;XMA;United States
Martin-Baker;\N;;MBE;United Kingdom
Martinair;\N;MP;MPH;Netherlands
Martinaire;\N;;MRA;United States
Martyn Fiddler Associates;\N;;MFA;United Kingdom
Marvin Limited;\N;;MVN;United Kingdom
Maryland State Police;\N;;TRP;United States
Massachusetts Institute of Technology;\N;;MTH;United States
Massey University School of Aviation;\N;;MSY;New Zealand
Master Airways;\N;;MSW;Serbia
Master Planner;\N;;MPL;United States
Masterjet;\N;;LMJ;Portugal
Mastertop Linhas Aereas;\N;Q4;;Brazil
Mauria;\N;;MIA;Mauritania
Mauritanienne Aerienne Et Navale;\N;;MNV;Mauritania
Mauritanienne Air Fret;\N;;MRF;Mauritania
Mauritanienne Airways;\N;;MWY;Mauritania
Mauritanienne De Transport Aerien;\N;;MDE;Mauritania
Maverick Airways;\N;;MVR;United States
Mavial Magadan Airlines;\N;H5;MVL;Russia
Max Avia;\N;;MAI;Kyrgyzstan
Max Sea Food;\N;;MSF;El Salvador
Max-Aviation;\N;;MAX;Canada
Maxair;\N;8M;MXL;Sweden
Maximus Air Cargo;\N;;MXU;United Arab Emirates
Maxjet Airways;\N;MY;MXJ;United States
Maxsus-Avia;\N;;MXS;Uzbekistan
May Air Xpress;\N;;MXP;United States
Maya Island Air;\N;MW;MYD;Belize
Mayair;\N;;MYI;Mexico
Mbach Air;\N;;MBS;Malawi
McAlpine Helicopters;\N;;MCH;United Kingdom
McCall Aviation;\N;;MKL;United States
McDonnell Douglas;\N;;DAC;United States
McNeely Charter Services;\N;;MDS;United States
Med-Trans of Florida;\N;;MEK;United States
Medavia Company;\N;;MDM;Malta
Medical Air Rescue Services;\N;;MRZ;Zimbabwe
Medical Aviation Services;\N;;MCL;United Kingdom
Mediterranean Air Freight;\N;;MDF;Greece
Mediterranean Airways;\N;;MDY;Egypt
Medjet International;\N;;MEJ;United States
Mega;\N;;MGK;Kazakhstan
Mega Linhas Aereas;\N;;MEL;Brazil
Mekong Airlines;\N;;MKN;Cambodia
Menajet;\N;IM;MNJ;Lebanon
Merchant Express Aviation;\N;;MXX;Nigeria
Mercury Aircourier Service;\N;;MEC;United States
Meridian;\N;;POV;Ukraine
Meridian Air Cargo;\N;;MRD;United States
Meridian Airlines;\N;;MHL;Nigeria
Meridian Aviation;\N;;DSL;United Kingdom
Meridian Limited;\N;;MEM;Ukraine
Meridiana;\N;IG;ISS;Italy
Merlin Airways;\N;;MEI;United States
Merpati Nusantara Airlines;\N;MZ;MNA;Indonesia
Mesa Airlines;\N;YV;ASH;United States
Mesaba Airlines;\N;XJ;MES;United States
Meta Linhas A;\N;;MSQ;Brazil
Meteorological Research Flight;\N;;MET;United Kingdom
Methow Aviation;\N;;MER;United States
Metro Business Aviation;\N;;MVI;United Kingdom
Metro Express;\N;;MEX;United States
Metroflight;\N;;MTR;United States
Metrojet;\N;;MTJ;Hong Kong SAR of China
Metropix UK;\N;;PIX;United Kingdom
Metroplis;\N;;MPS;Netherlands
Mex Blue;\N;;MXB;Mexico
Mex-Jet;\N;;MJT;Mexico
Mexicana de Aviaci;\N;MX;MXA;Mexico
Mexico Transportes Aereos;\N;;MXT;Mexico
Miami Air Charter;\N;;HUR;United States
Miami Air International;\N;GL;BSK;United States
Miami Valley Aviation;\N;;OWL;United States
Miapet-Avia;\N;;MPT;Armenia
Michelin Air Services;\N;;BIB;France
Micromatter Technology Solutions;\N;;WIZ;United Kingdom
Mid Airlines;\N;;NYL;Sudan
Mid-Pacific Airlines;\N;;MPA;United States
Midamerica Jet;\N;;MJR;United States
Middle East Airlines;\N;ME;MEA;Lebanon
Midland Airport Services;\N;;MID;United Kingdom
Midline Air Freight;\N;;MFR;United States
Midstate Airlines;\N;;MIS;United States
Midway Airlines;\N;JI;MDW;United States
Midway Express;\N;;FLA;United States
Midwest Air Freighters;\N;;FAX;United States
Midwest Airlines;\N;YX;MEP;United States
Midwest Airlines (Egypt);\N;MY;MWA;Egypt
Midwest Aviation;\N;;NIT;United States
Midwest Aviation Division;\N;;MWT;United States
Midwest Helicopters De Mexico;\N;;HTE;Mexico
Millardair;\N;;MAB;Canada
Millen Corporation;\N;;RJM;United Kingdom
Millennium Air;\N;;MLK;Nigeria
Miller Flying Services;\N;;MFS;United States
Million Air;\N;;OXO;United States
Mimino;\N;;MIM;Russia
Mina Airline Company;\N;;NAB;Egypt
Minair;\N;;OMR;Central African Republic
Minebea Technologies;\N;;EBE;United States
Mines Air Services Zambia;\N;;MAZ;Zambia
Miniliner;\N;;MNL;Italy
Ministic Air;\N;;MNS;Canada
Ministry of Agriculture;\N;;WDG;WATCHDOG
Minsk Aircraft Overhaul Plant;\N;;LIR;Belarus
Miramichi Air Service;\N;;MIR;Canada
Miras;\N;;MIF;Kazakhstan
Misr Overseas Airways;\N;;MOS;Egypt
Mission Aviation Fellowship;\N;;MAF;Indonesia
Missionair;\N;;MSN;Spain
Missions Gouvernemtales Francaises;\N;;MRN;France
Mississippi State University;\N;;BDG;United States
Mississippi Valley Airways;\N;;MVA;United States
Mistral Air;\N;;MSA;Italy
Mobil Oil;\N;;MBO;Canada
Mocambique Expresso;\N;;MXE;Mozambique
Mofaz Air;\N;;MFZ;Malaysia
Moldaeroservice;\N;;MLE;Moldova
Moldavian Airlines;\N;2M;MDV;Moldova
Moldova;\N;;MVG;Moldova
Mombasa Air Safari;\N;;RRV;Kenya
Monarch Airlines;\N;ZB;MON;United Kingdom
Monarch Airlines;\N;;MNH;United States
Myway Airlines;\N;8I;;Italy
Moncton Flying Club;\N;;MFC;Canada
Monde Air Charters;\N;;MDB;United Kingdom
Monerrey Air Taxi;\N;;MTI;Mexico
Monky Aerotaxis;\N;;MKY;Mexico
Montenegro Airlines;\N;YM;MGX;Montenegro
Montserrat Airways;\N;;MNT;Montserrat
Mooney Aircraft Corporation;\N;;MNY;United States
Morningstar Air Express;\N;;MAL;Canada
Morris Air Service;\N;;MSS;United States
Morrison Flying Service;\N;;MRO;United States
Moskovia Airlines;\N;3R;GAI;Russia
Mosphil Aero;\N;;MPI;Philippines
Motor Sich;\N;M9;MSI;Ukraine
Mount Cook Airlines;\N;NM;NZM;New Zealand
Mountain Air Cargo;\N;;MTN;United States
Mountain Air Company;\N;N4;MTC;Sierra Leone
Mountain Air Express;\N;;PKP;United States
Mountain Air Service;\N;;BRR;United States
Mountain Bird;\N;;MBI;United States
Mountain High Aviation;\N;;MHA;United States
Mountain Pacific Air;\N;;MPC;Canada
Mountain Valley Air Service;\N;;MTV;United States
Mowhawk Airlines;\N;;MOW;United States
Mudan Airlines;\N;;MDN;Somali Republic
Mudanjiang General Aviation;\N;;CMJ;China
Multi Taxi;\N;;MTX;Mexico
Multi-Aero;\N;;WBR;United States
Multiflight;\N;;MFT;
Murmansk Aircompany;\N;;MNZ;Russia
Murray Air;\N;;MUA;United States
Musrata Air Transport;\N;;MMR;Libya
Mustique Airways;\N;;MAW;Barbados
My Way Airlines;\N;;MYW;Italy
MyTravel Airways;\N;VZ;MYT;United Kingdom
Myanma Airways;\N;UB;UBA;Myanmar
Myanmar Airways International;\N;8M;MMM;Myanmar
Myflug;\N;;MYA;Iceland
Mytravel Airways;\N;;VKG;Denmark
NEL Cargo;\N;;NLG;Ivory Coast
NHT Lineas Aereas;\N;;NHG;Brazil
NZ Warbirds Association;\N;;WAR;New Zealand
Nacoia Lda;\N;;ANL;Angola
Nada Air Service;\N;;NHZ;Chad
Compangnie Nationale Naganagani;\N;;BFN;Burkina Faso
Nahanni Air Services Ltd;\N;;NAH;Canada
Nakheel Aviation;\N;;NKL;United Arab Emirates
Namibia Commerical Aviation;\N;;MRE;Namibia
Namibian Defence Force;\N;;NDF;Namibia
Nanjing Airlines;\N;;CNJ;China
Nantucket Airlines;\N;DV;ACK;United States
Nanyah Aviation;\N;;NYA;Israel
Napier Air Service Inc;\N;;NAP;United States
Nas Air;\N;;NCM;Angola
Nas Air;\N;P9;;Mali
Nasair;\N;UE;NAS;Eritrea
Nashville Jet Charters;\N;;NJC;United States
Natalco Air Lines;\N;;NCO;S
Natioanl Air Traffic Controllers Association;\N;;NTK;United States
National Air Charter;\N;;NSR;Indonesia
National Air Traffic Services;\N;;RFI;United Kingdom
National Airlines;\N;;NAN;United States
National Airlines;\N;N4;NCN;Chile
National Airlines;\N;N7;ROK;United States
National Airlines;\N;;NAL;United States
National Airlines;\N;;KUS;South Africa
National Airways Cameroon;\N;9O;;Cameroon
National Airways Corporation;\N;;LFI;South Africa
National Aviation Company;\N;;GTY;Egypt
National Aviation Consultants;\N;;TNC;Canada
National Express;\N;;NXT;United States
National Grid;\N;;GRD;United Kingdom
National Jet Express;\N;;JTE;Australia
National Jet Service;\N;;AND;United States
National Jet Systems;\N;NC;NJS;Australia
National Oceanic and Atmospheric Administration;\N;;NAA;United States
National Overseas Airlines Company;\N;;NOL;Egypt
Nationale Luchtvaartschool;\N;;NLS;Netherlands
Nations Air Express Inc;\N;;NAE;United States
Nationwide Airlines;\N;CE;NTW;South Africa
Nationwide Airlines (Zambia);\N;;NWZ;Zambia
Natural Environment Research Council;\N;;EVM;United Kingdom
Natureair;\N;;NRR;Costa Rica
Naturelink Charter;\N;;NRK;South Africa
Nauru Air Corporation;\N;ON;RON;Nauru
NAV CANADA;\N;;NVC;Canada
Nav Flight Planning;\N;;NAV;Czech Republic
Navegacao Aerea De Portugal;\N;;NVP;Portugal
Navegacion Servicios Aereos Canarios SA;\N;;NAY;Spain
Navid;\N;;IRI;Iran
Naviera Mexicana;\N;;NVM;Mexico
Navigator Airlines;\N;;NVL;Armenia
Navinc Airlines Services;\N;;XNV;United States
Navitaire;\N;1N;;United States
Navtech System Support;\N;;XNS;Canada
Nayzak Air Transport;\N;;NZA;Libya
State of Nebraska;\N;;NEB;United States
Necon Air;\N;;NEC;Nepal
Nederlandse Kustwacht;\N;;NCG;Netherlands
Nefteyugansk Aviation Division;\N;;NFT;Russia
Neiltown Air;\N;;NLA;Canada
Nelair Charters;\N;;NLC;South Africa
Nelson Aviation College;\N;;CGE;New Zealand
Nepal Airlines;\N;RA;RNA;Nepal
Neos;\N;NO;NOS;Italy
Neosiam Airways;\N;;TOX;Thailand
Neric;\N;;NSL;United Kingdom
NetJets;\N;1I;EJA;United States
Network Aviation Services;\N;;NET;Nigeria
New England Air Express;\N;;NEZ;United States
New England Airlines;\N;EJ;NEA;United States
New Heights 291;\N;;NHT;South Africa
New World Jet Corporation;\N;;NWD;United States
New York Helicopter;\N;;NYH;United States
New York State Police;\N;;GRY;United States
New Zealand Air Defence Force;\N;;KRC;New Zealand
Newair;\N;;HVA;United States
Newfoundland Labrador Air Transport;\N;;NLT;Canada
NextJet;\N;2N;NTJ;Sweden
Nextflight Aviation;\N;;NXF;United States
Nexus Aviation;\N;;NXS;Nigeria
Nicaraguense De Aviacion;\N;;NIS;Nicaragua
Nicon Airways;\N;;NCN;Nigeria
Nigeria Airways;\N;;NGA;Nigeria
Nigerian Air Force;\N;;NGR;Nigeria
Nigerian Global;\N;;NGX;Nigeria
Night Express;\N;;EXT;Germany
Niki;\N;HG;NLY;Austria
Nikolaev-Air;\N;;NKV;Ukraine
Nile Safaris Aviation;\N;;NSA;Sudan
Nile Valley Aviation Company;\N;;NVA;Egypt
Nile Wings Aviation Services;\N;;NLW;Sudan
Nimbus Aviation;\N;;NBS;United Kingdom
Nippon Cargo Airlines;\N;KZ;NCA;Japan
Nizhnevartovskavia;\N;;NVK;Russia
Search and Rescue 202;\N;;SRG;United Kingdom
Search and Rescue 22;\N;;SRD;United Kingdom
No. 32 (The Royal) Squadron RAF;\N;;NOH;United Kingdom
84 Squadron Royal Air Force @ RAF Akrotiri;\N;;AKG;United Kingdom
Nobil Air;\N;;NBL;Moldova
Nok Air;\N;DD;NOK;Thailand
Nolinor Aviation;\N;;NRL;Canada
Nomad Aviation;\N;;NMD;Namibia
Norcopter;\N;;NOC;Norway
Nord-Flyg;\N;;NEF;Sweden
Nordeste Linhas Aereas Regionais;\N;JH;NES;Brazil
Nordic Regional;\N;6N;NRD;Sweden
Nordic Solutions;\N;;NVD;Lithuania
Nordstree (Australia);\N;;NDS;Australia
Norestair;\N;;NRT;Spain
Norfolk County Flight College;\N;;NCF;United Kingdom
Norontair;\N;;NOA;Canada
Norrlandsflyg;\N;;HMF;Sweden
Norse Air Charter;\N;;NRX;South Africa
Norsk Flyrjeneste;\N;;NIR;Norway
Norsk Helikopter;\N;;NOR;Norway
Norsk Luftambulanse;\N;;DOC;Norway
Nortavia;\N;;RTV;Portugal
North Adria Aviation;\N;;NAI;Croatia
North American Airlines;\N;;NTM;Canada
North American Charters;\N;;HMR;Canada
North American Jet Charter Group;\N;;NAJ;United States
North Atlantic Air Inc;\N;;NAT;United States
North Atlantic Cargo;\N;;NFC;Norway
North British Airlines;\N;;NBN;United Kingdom
North Caribou Flying Service Ltd;\N;;NCB;Canada
North Coast Air Services Ltd;\N;;NCC;Canada
North Coast Aviation;\N;N9;;Papua New Guinea
North Flying;\N;M3;NFA;Denmark
North Sea Airways;\N;;NRC;Netherlands
North Star Air Cargo;\N;;SBX;United States
North Vancouver Airlines;\N;;NRV;Canada
North West Airlines;\N;;NWW;Australia
North West Geomatics;\N;;PTO;Canada
North-East Airlines;\N;;NEN;Nigeria
North-West Air Transport Company - Vyborg;\N;;VBG;Russia
North-Wright Airways;\N;HW;NWL;Canada
Northafrican Air Transport;\N;;NLL;Libya
Northaire Feight Lines;\N;;NFL;United States
Northamptonshire School of Flying;\N;;NSF;United Kingdom
Northcoast Executive Airlines;\N;;NCE;United States
Northeast Airlines;\N;;NEE;United States
Northeast Aviation;\N;;NPX;United States
Northern Air Cargo;\N;NC;NAC;United States
Northern Airlines Sanya;\N;;BYC;China
Northern Airways;\N;;NDA;United States
Northern Aviation Service;\N;;CMU;Thailand
Northern Dene Airways;\N;U7;;Canada
Northern Executive Aviation;\N;;NEX;United Kingdom
Northern Illinois Commuter;\N;;NIC;United States
Northern Jet Management;\N;;NTX;United States
Northern Thunderbird Air;\N;;NTA;Canada
Northland Aviation;\N;;KOE;United States
Northstar Aviation;\N;;NSS;United States
Northumbria Helicopters;\N;;NHL;United Kingdom
Northway Aviation Ltd;\N;;NAL;Canada
Northwest Aero Associates;\N;;NWE;United States
Northwest Airlines;\N;NW;NWA;United States
Northwest Regional Airlines;\N;FY;NWR;Australia
Northwest Territorial Airways;\N;;NWT;Canada
Northwestern Air;\N;J3;PLR;Canada
Northwinds Northern;\N;;NWN;Canada
Nortland Air Manitoba;\N;;NAM;Canada
Norwegian Air Shuttle;\N;DY;NAX;Norway
Norwegian Aviation College;\N;;TFN;Norway
Notams International;\N;;XNT;United States
Nouvel Air Tunisie;\N;BJ;LBT;Tunisia
Nova Airline;\N;M4;NOV;Sudan
Nova Scotia Department of Lands and Forests;\N;;PTR;Canada
Novair;\N;1I;NVR;Sweden
Novogorod Air Enterprise;\N;;NVG;Russia
Novosibirsk Aircraft Repairing Plant;\N;;NSP;Russia
Novosibirsk Aviaenterprise;\N;;NBE;Russia
Novosibirsk Aviation Production Association;\N;;NPO;Russia
Noy Aviation;\N;;NOY;Israel
Nuevo Continente;\N;N6;ACQ;Peru
Nuevo Horizonte Internacional;\N;;NHR;Mexico
Nunasi-Central Airlines;\N;;NUN;Canada
Nurman Avia Indopura;\N;;NIN;Indonesia
Nyasa Express;\N;;NYS;Malawi
Nas Air;\N;XY;KNE;Saudi Arabia
O Air;\N;;OCN;France
O'Connor Airlines;\N;UQ;OCM;Australia
OAG;\N;CR;;United Kingdom
OSACOM;\N;;JPA;United States
Oasis Hong Kong Airlines;\N;O8;OHK;Hong Kong
Ocean Air;\N;;BCN;Mauritania
Ocean Airlines;\N;VC;VCX;Italy
Ocean Sky (UK);\N;;OCS;United Kingdom
Ocean Wings Commuter Service;\N;;TUK;United States
Oceanair;\N;O6;ONE;Brazil
Oceanic Airlines;\N;O2;;Guinea
Odessa Airlines;\N;;ODS;Ukraine
Odyssey International;\N;;ODY;Canada
Office Federal De'Aviation Civile;\N;;FOC;Switzerland
Ogooue Air Cargo;\N;;GBO;Gabon
Okada Airlines;\N;;OKJ;Nigeria
Okapi Airways;\N;;OKP;Democratic Republic of Congo
Okay Airways;\N;;OKA;China
Oklahoma Department of Public Safety;\N;;OKL;United States
Olimex Aerotaxi;\N;;OLX;Czech Republic
Olimp Air;\N;;KVK;Kazakhstan
Olympic Airlines;\N;OA;OAL;Greece
Olympic Aviation;\N;;OLY;Greece
Oman Air;\N;WY;OMA;Oman
Oman Royal Flight;\N;;ORF;Oman
Omni - Aviacao e Tecnologia;\N;;OAV;Portugal
Omni Air International;\N;OY;OAE;United States
Omniflys;\N;;OMF;Mexico
Omskavia Airline;\N;N3;OMS;Russia
On Air Limited;\N;;ORL;Canada
One Two Go Airlines;\N;;OTG;Thailand
Onetime Airlines Zambia;\N;;OTM;Zambia
Ontario Ministry of Health;\N;;MED;Canada
Onur Air;\N;8Q;OHY;Turkey
Opal Air;\N;;OPA;Australia
Open Sky Aviation;\N;;OSA;Lebanon
OpenSkies;\N;;BOS;United Kingdom
Operadora Turistica Aurora;\N;;ORR;Mexico
Operadora de Lineas Ejecutivas;\N;;OLE;Mexico
Operadora de Transportes Aereos;\N;;OTP;Mexico
Operadora de Veulos Ejectutivos;\N;;OPV;Mexico
Operation Enduring Freedom;\N;;LLO;Canada
Operational Aviation Services;\N;;OAX;Australia
Orange Air Services;\N;;ORD;Sierra Leone
Orange Air Sierra Leone;\N;;ORJ;Sierra Leone
Orange Aviation;\N;;ORE;Israel
Orbit Express Airlines;\N;;ORX;Turkey
Orca Air;\N;;ORK;Egypt
Orebro Aviation;\N;;BUE;Sweden
Orel State Air Enterprise;\N;;ORM;Russia
Orenburg Airlines;\N;R2;ORB;Russia
Organizacion De Transportes Aereos;\N;;OTA;Mexico
Organizacoes Mambra;\N;;OML;Angola
Orient Air;\N;;OVV;Syrian Arab Republic
Orient Airlines;\N;;OTR;Sudan
Orient Airways;\N;;ORN;Pakistan
Orient Thai Airlines;\N;OX;OEA;Thailand
Oriental Air Bridge;\N;;NGK;Japan
Oriental Airlines;\N;;OAC;Nigeria
Origin Pacific Airways;\N;QO;OGN;New Zealand
Orion Air Charter;\N;;OED;South Africa
Orion-x;\N;;OIX;Russia
Orlan-2000;\N;;KOV;Kazakhstan
Ornage Aircraft Leasing;\N;;RNG;Netherlands
Orscom Tourist Installations Company;\N;;OAD;Egypt
Osh Avia;\N;;OSH;Kyrgyzstan
Ostend Air College;\N;;OCO;Belgium
Ostfriesische Lufttransport;\N;OL;OLT;Germany
Oulun Tilauslento;\N;;FNL;Finland
Our Airline;\N;ON;RON;Nauru
Out Of The Blue Air Safaris;\N;;OOT;South Africa
Overland Airways;\N;OJ;OLA;Nigeria
Oxaero;\N;;OXE;United Kingdom
Oxford Air Services;\N;;WDK;United Kingdom
Oxley Aviation;\N;;OAA;Australia
Ozark Air Lines;\N;OZ;OZR;United States
